2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
69,서울,-,제5회 호숫가영화제,문화예술,9.23.~9.24.,서울대공원 호수광장,대면,2016,0,30,0,30,"2,000",,서울대공원,지자체,서울특별시 도시공원 조례 (1981년),서울특별시,임명경,02-500-7022,,
70,서울,-,제8회 동물원 속 미술관,문화예술,10.21.~10.29.,서울대공원 일대,대면,2016,0,200,0,200,"177,000",,서울대공원,지자체,서울특별시 도시공원 조례 (1981년),서울특별시,임명경,02-500-7022,,
71,서울,서대문구,서대문독립페스타,전통역사,8.14.~8.15.,서대문형무소역사관,대면,2010,,150,,150,"18,000","1,000",서대문독립페스타추진위원회,축제조직위,서대문구 문화예술 진흥 및 지원에 관한 조례,,김현수,02-330-8161,,
72,서울,서대문구,서대문 가을문화 주간,문화예술,10.14.~10.21.,관내 문화공간,대면,2022,,99,,99,"2,100",,문화체육과 문화기획팀,지자체,서대문구 문화예술 진흥 및 지원에 관한 조례,,조현희,02-330-1577,,
73,서울,서대문구,벚꽃음악회,문화예술,4월 중 벚꽃개화기,안산자락길 등,대면,2011,,75,,,"1,200",,문화체육과 문화기획팀,지자체,서대문구 문화예술 진흥 및 지원에 관한 조례,,김정은,02-330-1550,,
74,서울,서대문구,서대문대학문화축제,문화예술,10월 중,서대문구 신촌 연세로 일대,대면,2023,,130,,130, - ,-,문화체육과 문화관광팀,지자체,서대문구 문화예술 진흥 및 지원에 관한 조례,,박소은,02-330-1438,,
75,서울,서대문구,프랑스거리음악축제 ,문화예술,6월 중,미정,대면,2017,,53,,53,"2,000",,문화체육과 문화관광팀,지자체,서대문구 문화예술 진흥 및 지원에 관한 조례,,박소은,02-330-1438,,
76,서울,영등포구,제17회 영등포 여의도 봄꽃축제,문화예술,4. 4. ~ 4. 9.(예정),여의서로 벚꽃길 및 한강공원 일대,대면,2005,,260,,260,"5,230,000",,영등포구청 문화체육과,지자체,,,전수린,02-2670-3128,,
77,서울,영등포구,제22회 신길6동 벚꽃축제,문화예술,3월말~4월초,"신길6동 벚꽃거리
(대방천로14길)",대면,1992,,7,,7,-,,신길6동 새마을지도자협의회,직능단체,,,심현창,02-2670-1344,,
78,서울,영등포구,제2회 영등포 지등축제,문화예술,10월 초,안양천 벚꽃길,대면,2022,,6,,6,800,,영등포문화원,민간단체,,,심규홍,02-2670-3519,,
79,서울,성동구,응봉산 개나리축제,"문화예술, 생태자연",3월말,응봉산일대,대면,1998,,35,,34,"3,000",,성동문화재단,재단법인,성동문화재단 설립에 관한 조례(2015년),,전지영,02-2286-5203,,
80,서울,성동구,두모포 페스티벌,"문화예술, 전통역사",7월초,옥수역 하부 한강공원,대면,2019,,150,,150,"3,000",,성동문화재단,재단법인,성동문화재단 설립에 관한 조례(2015년),,이대현,02-2286-5207,,
81,서울,성동구,태조이성계축제,"문화예술,전통역사",9월중,살곶이체육공원,대면,1999,,124,,124,"3,000",,성동문화재단,재단법인,성동문화재단 설립에 관한 조례(2015년),,전지영,02-2286-5203,,
82,서울,성동구,세계민속춤 축제,문화예술,10월초,왕십리광장,대면,2015,,24,,24,"2,000",,성동구,,,,이대현,02-2286-5207,,
83,부산,-,부산낙동강유채꽃축제,생태자연,4월중,대저생태공원 일원,혼합형,2011년도,-,180,-,180,"400,000", - ,부산문화관광축제조직위원회,위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조,,임태훈,051-888-5222,,
84,부산,-,조선통신사축제,전통역사,5.5.~5.7.,용두산공원 일원,대면,2003년도,-,470,-,470,"57,000","3,000",(재)부산문화재단,재단법인,부산문화재단 설립 및 운영 지원 조례,,문종식,051-888-5092,,
85,부산,-,부산항축제,기타,"5.27.~5.28.
(예정)","부산항국제여객터미널, 
국립해양박물관 일원",혼합형,2008년도,-,300,300,600,"1,000,000", - ,부산문화관광축제조직위,위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,,김미희,051-888-5354,,
86,부산,-,부산원도심골목길축제,전통역사,6월중,"원도심 4개구(중구, 서구, 동구, 영도구) 일원",대면,2015년도,-,150,14,164,551, - ,부산문화관광축제조직위,위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조,,임성원,051-888-5221,,
